phenotype	description	risk_category	your_risk	gene_tested	priority	type	category	sub_pri	intrinsic_factors	sign_and_symptoms	recomm_test	possible_outcome	do_action	do_not_action
Rheumatoid Arthritis	"Rheumatoid Arthritis (RA) adalah penyakit inflamasi sistemik kronis, terjadi ketika sistem kekebalan tubuh Anda secara keliru menyerang persendian. 
RA biasanya mempengaruhi sendi di kedua sisi tubuh, salah satu ciri khas yang membedakan dari radang sendi lainnya. Peradangan yang terkait dengan RA dapat juga merusak bagian lain dari tubuh.
"	Low		"UBASH3A; SYNGR1; PADI4; REL; LOC100506023, TNFSF4; NFKBIE; PTPN2; RASGRP1; SPRED2; STAT4; TNFAIP3; CTLA4; ARID5B; CCR6; MTF1"	4	Health	Bone and Joint Disorders		"Faktor intrinsik
1) Usia: lebih sering terjadi pada kelompok usia 30-60 tahun
2) Jenis Kelamin: wanita berisiko lebih tinggi daripada pria
3) Riwayat keluarga

Faktor gaya hidup
1) Merokok
2) Paparan dini terhadap asap rokok: anak-anak yang ibunya merokok memiliki risiko dua kali lipat terkena RA saat dewasa
3) Paparan bahan kimia tertentu seperti asbes dan silika

Kondisi medis terkait
1) Obesitas
2) Nuliparitas (belum pernah
3) Diabetes
4) Osteoporosis

"	"1) Nyeri, kaku, nyeri tekan dan bengkak pada banyak sendi; Keterlibatan sendi simetris; Deformitas sendi
2) Penurunan berat badan dan anemia
3) Demam, kelelahan, atau kelelahan
4) Kekeringan, nyeri dan kemerahan di mata
5) Mulut kering, iritasi gusi
6) Nodul reumatoid
7) Peradangan pembuluh darah yang menyebabkan kerusakan saraf"	"1) Pemeriksaan fisik oleh rheumatologist
2) Kriteria klinis:
a) pembengkakan hadir di setidaknya satu sendi, penyebab lain
dikesampingkan
b) hasil dari setidaknya satu tes darah yang menunjukkan
kehadiran RA
c) gejala telah ada setidaknya selama 6 minggu
3) X-ray, Ultrasound, MRI sendi
4) Tes darah Tes faktor RA, tes antibodi anti-CCP,
tes panel antibodi anti-nuklir, kadar CRP dan ESR
5) Aspirasi sendi
6) Analisis cairan sinovial"	Secara genetik, kamu memiliki risiko rendah untuk mengidap Rheumatoid Arthritis	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Perhatikan tanda dan gejala Rheumatoid Arthritis dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut.
"	NA
Rheumatoid Arthritis	"Rheumatoid Arthritis (RA) adalah penyakit inflamasi sistemik kronis, terjadi ketika sistem kekebalan tubuh Anda secara keliru menyerang persendian. 
RA biasanya mempengaruhi sendi di kedua sisi tubuh, salah satu ciri khas yang membedakan dari radang sendi lainnya. Peradangan yang terkait dengan RA dapat juga merusak bagian lain dari tubuh.
"	High		"UBASH3A; SYNGR1; PADI4; REL; LOC100506023, TNFSF4; NFKBIE; PTPN2; RASGRP1; SPRED2; STAT4; TNFAIP3; CTLA4; ARID5B; CCR6; MTF1"	4	Health	Bone and Joint Disorders		"Faktor intrinsik
1) Usia: lebih sering terjadi pada kelompok usia 30-60 tahun
2) Jenis Kelamin: wanita berisiko lebih tinggi daripada pria
3) Riwayat keluarga

Faktor gaya hidup
1) Merokok
2) Paparan dini terhadap asap rokok: anak-anak yang ibunya merokok memiliki risiko dua kali lipat terkena RA saat dewasa
3) Paparan bahan kimia tertentu seperti asbes dan silika

Kondisi medis terkait
1) Obesitas
2) Nuliparitas (belum pernah
3) Diabetes
4) Osteoporosis

"	"1) Nyeri, kaku, nyeri tekan dan bengkak pada banyak sendi; Keterlibatan sendi simetris; Deformitas sendi
2) Penurunan berat badan dan anemia
3) Demam, kelelahan, atau kelelahan
4) Kekeringan, nyeri dan kemerahan di mata
5) Mulut kering, iritasi gusi
6) Nodul reumatoid
7) Peradangan pembuluh darah yang menyebabkan kerusakan saraf"	"1) Pemeriksaan fisik oleh rheumatologist
2) Kriteria klinis:
a) pembengkakan hadir di setidaknya satu sendi, penyebab lain
dikesampingkan
b) hasil dari setidaknya satu tes darah yang menunjukkan
kehadiran RA
c) gejala telah ada setidaknya selama 6 minggu
3) X-ray, Ultrasound, MRI sendi
4) Tes darah Tes faktor RA, tes antibodi anti-CCP,
tes panel antibodi anti-nuklir, kadar CRP dan ESR
5) Aspirasi sendi
6) Analisis cairan sinovial"	Secara genetik, kamu memiliki risiko tinggi untuk mengidap Rheumatoid Arthritis	"Eat fiber-rich food (fruits, vegetables, and whole grains)

Consume mineral-rich diet like potassium, magnesium, calcium, and antioxidant

Eat protein-rich food (chicken, eggs, nuts, and lentils)

Consume low-fat dairy products (milk, yogurt, buttermilk)

Maintain a healthy weight and do at least 30 minutes of daily exercise. Weightlifting may be practiced by lower the loads and higher repetitions"	"Makanan tinggi garam (acar, keripik, saus, dll.)

Konsumsi alkohol

Merokok atau mengunyah tembakau

Konsumsi kafein berlebihan (lebih dari 200mg/ hari)

"
Atrial Fibrillation	"Fibrilasi atrium (AF) adalah kondisi jantung dimana detak jantung tidak teratur dan tidak normal.
AF terjadi ketika banyak impuls yang berbeda menyala sekaligus pada atria. 
Detak jantung berkisar antara 300-600 denyut per menit yang menyebabkan pusing, palpitasi, sesak nafas dan kelelahan. Dalam beberapa kasus, dapat meningkatkan risiko stroke, gagal jantung, dan kondisi jantung lainnya.
"	Typical		"PITX2; ZFHX3; KCNN3; PRRX1; MIR6500; GJA5; ATXN1; UST; CAV1; FBXO32; NEURL1; KCNJ5; TBX5; HCN4; RPL3L; LINC01426; SH3PXD2A; ARHGAP10"	5	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Usia: semakin tua usia, lebih besar resikonya
2) Riwayat keluarga

Faktor gaya hidup
1) Minum alkohol (terutama pesta minuman keras)
2) Merokok atau mengunyah tembakau
3) Konsumsi kafein yang berlebihan
4) Stres
5) Terlalu banyak aktivitas fisik

Kondisi medis terkait
1) Obesitas
2) Hipertensi
3) Kardiomiopati
4) Penyakit Arteri Koroner
5) Emboli paru
6) Penyakit Paru-Paru Kronis
7) Hipertiroidisme
8) Apnea tidur
9) Infeksi virus
10) Stres hemodinamik

"	"1) Palpitasi
2) Kelemahan
3) Berkurangnya kemampuan untuk berolahraga
4) Kelelahan
5) Sakit kepala ringan
6) Pusing
7) Sesak napas
8) nyeri dada"	"1) Elektrokardiogram (EKG)
2) pemantau holter
3) Monitor acara portabel
4) Monitor transtelepon
5) Tes stres
6) Rontgen dada
7) Tes darah untuk menyingkirkan masalah tiroid atau lainnya
zat dalam darah Anda yang dapat menyebabkan atrium
fibrilasi
8) Konsultasi ahli jantung dianjurkan"	Secara genetik, kamu memiliki risiko umum untuk mengidap Atrial Fibrillation	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Perhatikan tanda dan gejala Fibrilasi Atrium dan segera konsultasikan ke dokter jika Anda mengalami
gejala apapun."	NA
Atrial Fibrillation	"Fibrilasi atrium (AF) adalah kondisi jantung dimana detak jantung tidak teratur dan tidak normal.
AF terjadi ketika banyak impuls yang berbeda menyala sekaligus pada atria. 
Detak jantung berkisar antara 300-600 denyut per menit yang menyebabkan pusing, palpitasi, sesak nafas dan kelelahan. Dalam beberapa kasus, dapat meningkatkan risiko stroke, gagal jantung, dan kondisi jantung lainnya.
"	Low		"PITX2; ZFHX3; KCNN3; PRRX1; MIR6500; GJA5; ATXN1; UST; CAV1; FBXO32; NEURL1; KCNJ5; TBX5; HCN4; RPL3L; LINC01426; SH3PXD2A; ARHGAP10"	5	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Usia: semakin tua usia, lebih besar resikonya
2) Riwayat keluarga

Faktor gaya hidup
1) Minum alkohol (terutama pesta minuman keras)
2) Merokok atau mengunyah tembakau
3) Konsumsi kafein yang berlebihan
4) Stres
5) Terlalu banyak aktivitas fisik

Kondisi medis terkait
1) Obesitas
2) Hipertensi
3) Kardiomiopati
4) Penyakit Arteri Koroner
5) Emboli paru
6) Penyakit Paru-Paru Kronis
7) Hipertiroidisme
8) Apnea tidur
9) Infeksi virus
10) Stres hemodinamik

"	"1) Palpitasi
2) Kelemahan
3) Berkurangnya kemampuan untuk berolahraga
4) Kelelahan
5) Sakit kepala ringan
6) Pusing
7) Sesak napas
8) nyeri dada"	"1) Elektrokardiogram (EKG)
2) pemantau holter
3) Monitor acara portabel
4) Monitor transtelepon
5) Tes stres
6) Rontgen dada
7) Tes darah untuk menyingkirkan masalah tiroid atau lainnya
zat dalam darah Anda yang dapat menyebabkan atrium
fibrilasi
8) Konsultasi ahli jantung dianjurkan"	Secara genetik, kamu memiliki risiko rendah untuk mengidap Atrial Fibrillation	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Perhatikan tanda dan gejala Fibrilasi Atrium dan segera konsultasikan ke dokter jika Anda mengalami
gejala apapun."	NA
Atrial Fibrillation	"Fibrilasi atrium (AF) adalah kondisi jantung dimana detak jantung tidak teratur dan tidak normal.
AF terjadi ketika banyak impuls yang berbeda menyala sekaligus pada atria. 
Detak jantung berkisar antara 300-600 denyut per menit yang menyebabkan pusing, palpitasi, sesak nafas dan kelelahan. Dalam beberapa kasus, dapat meningkatkan risiko stroke, gagal jantung, dan kondisi jantung lainnya.
"	High		"PITX2; ZFHX3; KCNN3; PRRX1; MIR6500; GJA5; ATXN1; UST; CAV1; FBXO32; NEURL1; KCNJ5; TBX5; HCN4; RPL3L; LINC01426; SH3PXD2A; ARHGAP10"	5	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Usia: semakin tua usia, lebih besar resikonya
2) Riwayat keluarga

Faktor gaya hidup
1) Minum alkohol (terutama pesta minuman keras)
2) Merokok atau mengunyah tembakau
3) Konsumsi kafein yang berlebihan
4) Stres
5) Terlalu banyak aktivitas fisik

Kondisi medis terkait
1) Obesitas
2) Hipertensi
3) Kardiomiopati
4) Penyakit Arteri Koroner
5) Emboli paru
6) Penyakit Paru-Paru Kronis
7) Hipertiroidisme
8) Apnea tidur
9) Infeksi virus
10) Stres hemodinamik

"	"1) Palpitasi
2) Kelemahan
3) Berkurangnya kemampuan untuk berolahraga
4) Kelelahan
5) Sakit kepala ringan
6) Pusing
7) Sesak napas
8) nyeri dada"	"1) Elektrokardiogram (EKG)
2) pemantau holter
3) Monitor acara portabel
4) Monitor transtelepon
5) Tes stres
6) Rontgen dada
7) Tes darah untuk menyingkirkan masalah tiroid atau lainnya
zat dalam darah Anda yang dapat menyebabkan atrium
fibrilasi
8) Konsultasi ahli jantung dianjurkan"	Secara genetik, kamu memiliki risiko tinggi untuk mengidap Atrial Fibrillation	"Lakukan diet sehat jantung (diet DASH)

Pertahankan berat badan yang sehat.

Biasakan gaya hidup yang aktif secara fisik

Kontrol tekanan darah dan kadar gula darah Anda melalui diet dan olahraga yang tepat. Berobatlah jika diperlukan

Kelola tingkat stress untuk mencegah berkembangnya AF"	"Merokok atau mengunyah tembakau

Konsumsi alkohol

Konsumsi kafein berlebihan (seperti teh, kopi, minuman energi, cola, dan beberapa obat yang dijual bebas)

Penggunaan obat-obatan seperti kokain

Obat yang mengandung bahan-bahan yang dapat meningkatkan detak jantung. Tanyakan kepada dokter atau apoteker, terutama untuk obat batuk dan pilek"
Coronary Artery Disease (CAD)	"Penyakit Arteri Koroner (CAD) adalah penyempitan atau penyumbatan arteri koroner yang memasok darah, oksigen, dan nutrisi ke jantung Anda. 
Jika suplai darah ke sebagian otot jantung terputus, atau jika kebutuhan energi jantung menjadi jauh lebih besar, serangan jantung mungkin dapat terjadi.
"	Typical		"NOS3; CDKN2B-AS1; PHACTR1; PCSK9; LPA; APOE; MIR146A; PSRC1; CELSR2; ADIPOQ; CDKN2B; MIA3; MTHFD1L; TCF21; SMARCA4"	6	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Usia: lebih mungkin terjadi setelah 45 tahun pada pria dan 55 tahun pada wanita
2) Jenis Kelamin: pria memiliki risiko lebih besar daripada wanita
3) Etnisitas: lebih umum pada populasi tertentu
4) Riwayat keluarga

Faktor gaya hidup
1) Merokok dan penggunaan tembakau
2) Kurang olahraga
3) Pola makan yang tidak sehat
4) Stres emosional dan depresi

Kondisi medis terkait
1) Obesitas
2) Diabetes Tipe 2
3) Kolesterol tinggi dan
kadar trigliserida
4) Hipertensi
5) Homocystinuria
6) Apnea tidur
7) Preeklamsia
8) Gangguan autoimun
seperti artritis reumatoid
9) Penyakit ginjal stadium akhir


"	"1) Nyeri retrosternal
2) Angina (rasa tidak nyaman di dada), berat atau sesak di dada
3) Sesak nafas
4) Nyeri di lengan dan bahu
5) Pusing
6) Berkeringat

Seiring dengan gejala ini, wanita juga mungkin mengalami mual, muntah, nyeri rahang, ketidaknyamanan epigastrium dan sakit punggung"	"1) Elektrokardiogram
2) Ekokardiogram
3) Stress test atau Treadmill test (TMT)
4) Angiogram (kateterisasi jantung)
5) CT-scan jantung"	Secara genetik, kamu memiliki risiko rendah untuk mengidap Coronary Artery Disease (CAD)	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Perhatikan tanda dan gejala Penyakit Arteri Koroner (CAD) dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut.
"	NA
Coronary Artery Disease (CAD)	"Penyakit Arteri Koroner (CAD) adalah penyempitan atau penyumbatan arteri koroner yang memasok darah, oksigen, dan nutrisi ke jantung Anda. 
Jika suplai darah ke sebagian otot jantung terputus, atau jika kebutuhan energi jantung menjadi jauh lebih besar, serangan jantung mungkin dapat terjadi.
"	Low		"NOS3; CDKN2B-AS1; PHACTR1; PCSK9; LPA; APOE; MIR146A; PSRC1; CELSR2; ADIPOQ; CDKN2B; MIA3; MTHFD1L; TCF21; SMARCA4"	6	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Usia: lebih mungkin terjadi setelah 45 tahun pada pria dan 55 tahun pada wanita
2) Jenis Kelamin: pria memiliki risiko lebih besar daripada wanita
3) Etnisitas: lebih umum pada populasi tertentu
4) Riwayat keluarga

Faktor gaya hidup
1) Merokok dan penggunaan tembakau
2) Kurang olahraga
3) Pola makan yang tidak sehat
4) Stres emosional dan depresi

Kondisi medis terkait
1) Obesitas
2) Diabetes Tipe 2
3) Kolesterol tinggi dan
kadar trigliserida
4) Hipertensi
5) Homocystinuria
6) Apnea tidur
7) Preeklamsia
8) Gangguan autoimun
seperti artritis reumatoid
9) Penyakit ginjal stadium akhir


"	"1) Nyeri retrosternal
2) Angina (rasa tidak nyaman di dada), berat atau sesak di dada
3) Sesak nafas
4) Nyeri di lengan dan bahu
5) Pusing
6) Berkeringat

Seiring dengan gejala ini, wanita juga mungkin mengalami mual, muntah, nyeri rahang, ketidaknyamanan epigastrium dan sakit punggung"	"1) Elektrokardiogram
2) Ekokardiogram
3) Stress test atau Treadmill test (TMT)
4) Angiogram (kateterisasi jantung)
5) CT-scan jantung"	Secara genetik, kamu memiliki risiko rendah untuk mengidap Coronary Artery Disease (CAD)	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Perhatikan tanda dan gejala Penyakit Arteri Koroner (CAD) dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut.
"	NA
Coronary Artery Disease (CAD)	"Penyakit Arteri Koroner (CAD) adalah penyempitan atau penyumbatan arteri koroner yang memasok darah, oksigen, dan nutrisi ke jantung Anda. 
Jika suplai darah ke sebagian otot jantung terputus, atau jika kebutuhan energi jantung menjadi jauh lebih besar, serangan jantung mungkin dapat terjadi.
"	High		"NOS3; CDKN2B-AS1; PHACTR1; PCSK9; LPA; APOE; MIR146A; PSRC1; CELSR2; ADIPOQ; CDKN2B; MIA3; MTHFD1L; TCF21; SMARCA4"	6	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Usia: lebih mungkin terjadi setelah 45 tahun pada pria dan 55 tahun pada wanita
2) Jenis Kelamin: pria memiliki risiko lebih besar daripada wanita
3) Etnisitas: lebih umum pada populasi tertentu
4) Riwayat keluarga

Faktor gaya hidup
1) Merokok dan penggunaan tembakau
2) Kurang olahraga
3) Pola makan yang tidak sehat
4) Stres emosional dan depresi

Kondisi medis terkait
1) Obesitas
2) Diabetes Tipe 2
3) Kolesterol tinggi dan
kadar trigliserida
4) Hipertensi
5) Homocystinuria
6) Apnea tidur
7) Preeklamsia
8) Gangguan autoimun
seperti artritis reumatoid
9) Penyakit ginjal stadium akhir


"	"1) Nyeri retrosternal
2) Angina (rasa tidak nyaman di dada), berat atau sesak di dada
3) Sesak nafas
4) Nyeri di lengan dan bahu
5) Pusing
6) Berkeringat

Seiring dengan gejala ini, wanita juga mungkin mengalami mual, muntah, nyeri rahang, ketidaknyamanan epigastrium dan sakit punggung"	"1) Elektrokardiogram
2) Ekokardiogram
3) Stress test atau Treadmill test (TMT)
4) Angiogram (kateterisasi jantung)
5) CT-scan jantung"	Secara genetik, kamu memiliki risiko tinggi untuk mengidap Coronary Artery Disease (CAD)	"Makan makanan bergizi seimbang dan sehat, terutama makanan kaya serat (buah dan sayuran) dan mengandung lemak sehat (kacang dan biji-bijian)

Pertahankan berat badan  yang sehat.

Berolahraga setiap hari. Rencanakan untuk berolahraga sekitar 150 menit seminggu dengan aktivitas fisik sedang. Cobalah berjalan selama sekitar 30 menit setiap hari.

Berlatih cara sehat untuk mengelola stres, seperti relaksasi otot dan pernapasan dalam.

Kontrol tekanan darah dan kadar gula darah Anda melalui diet dan olahraga yang tepat. Berobatlah jika diperlukan"	"Konsumsi daging merah, makanan berlemak, daging olahan, gorengan, dll.

Konsumsi produk olahan gula berlebihan

Merokok dan penggunaan tembakau atau produk tembakau

Konsumsi alkohol. Laki-laki tidak lebih dari dua minuman/hari, wanita tidak lebih dari 1 minuman/hari."
High HDL (Good) Cholesterol Levels	"HDL adalah kolesterol baik yang menghilangkan LDL (kolesterol jahat), mengangkutnya ke hati untuk diproses ulang, dan memelihara dinding bagian dalam pembuluh darah untuk mencegah kerusakan.
Tingkat HDL yang tinggi mengurangi risiko penyakit jantung tetapi tingkat yang lebih rendah meningkatkan risiko.
"	Typical		"CETP; ZPR1; APOE; LIPC; DOCK6; ABCA1; APOA5; CELSR2; SMARCA4; MTHFD1L; TCF21; SMARCA4"	7	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Pria >45 tahun dan wanita >55 tahun berisiko lebih tinggi
2) Wanita pra-menopause berisiko lebih rendah daripada pria tetapi wanita pascamenopause berisiko lebih tinggi daripada pria
3) Umum di Asia Selatan
4) Riwayat keluarga
*berlaku untuk HDL Rendah

Faktor gaya hidup
1) Merokok
2) Kurang olahraga
3) Diet kaya lemak jenuh dan lemak trans
*berlaku untuk Kolesterol HDL Rendah.

Kondisi medis terkait
1) Obesitas
2) Diabetes Tipe 2
3) Obstruksi Bilier
4) Hipotiroidisme
5) Hipertensi
6) Hipopituitarisme
7) Sindrom nefrotik
*berlaku untuk HDL Rendah
Kolesterol.


"	Kolesterol HDL rendah tidak memiliki gejala 	"Uji Profil Lipid yang mengukur:
1) Kolesterol total
2) kolesterol LDL
3) kolesterol HDL
4) Trigliserida"	Secara genetik, kamu mempunyai risiko umum untuk memilki Kadar Kolesterol HDL (Baik) yang rendah. 	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Perhatikan tanda dan gejala kolesterol HDL rendah jika Anda mengembangkannya karena alasan lain dan segera
konsultasikan dengan dokter jika Anda mengalami salah satu gejala.
"	NA
High HDL (Good) Cholesterol Levels	"HDL adalah kolesterol baik yang menghilangkan LDL (kolesterol jahat), mengangkutnya ke hati untuk diproses ulang, dan memelihara dinding bagian dalam pembuluh darah untuk mencegah kerusakan.
Tingkat HDL yang tinggi mengurangi risiko penyakit jantung tetapi tingkat yang lebih rendah meningkatkan risiko.
"	Low		"CETP; ZPR1; APOE; LIPC; DOCK6; ABCA1; APOA5; CELSR2; SMARCA4; MTHFD1L; TCF21; SMARCA4"	7	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Pria >45 tahun dan wanita >55 tahun berisiko lebih tinggi
2) Wanita pra-menopause berisiko lebih rendah daripada pria tetapi wanita pascamenopause berisiko lebih tinggi daripada pria
3) Umum di Asia Selatan
4) Riwayat keluarga
*berlaku untuk HDL Rendah

Faktor gaya hidup
1) Merokok
2) Kurang olahraga
3) Diet kaya lemak jenuh dan lemak trans
*berlaku untuk Kolesterol HDL Rendah.

Kondisi medis terkait
1) Obesitas
2) Diabetes Tipe 2
3) Obstruksi Bilier
4) Hipotiroidisme
5) Hipertensi
6) Hipopituitarisme
7) Sindrom nefrotik
*berlaku untuk HDL Rendah
Kolesterol.


"	Kolesterol HDL rendah tidak memiliki gejala 	"Uji Profil Lipid yang mengukur:
1) Kolesterol total
2) kolesterol LDL
3) kolesterol HDL
4) Trigliserida"	Secara genetik, kamu mempunyai risiko tinggi untuk memilki Kadar Kolesterol HDL (Baik) yang tinggi. 	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Perhatikan tanda dan gejala kolesterol HDL rendah jika Anda mengembangkannya karena alasan lain dan segera
konsultasikan dengan dokter jika Anda mengalami salah satu gejala.
"	NA
High HDL (Good) Cholesterol Levels	"HDL adalah kolesterol baik yang menghilangkan LDL (kolesterol jahat), mengangkutnya ke hati untuk diproses ulang, dan memelihara dinding bagian dalam pembuluh darah untuk mencegah kerusakan.
Tingkat HDL yang tinggi mengurangi risiko penyakit jantung tetapi tingkat yang lebih rendah meningkatkan risiko.
"	High		"CETP; ZPR1; APOE; LIPC; DOCK6; ABCA1; APOA5; CELSR2; SMARCA4; MTHFD1L; TCF21; SMARCA4"	7	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Pria >45 tahun dan wanita >55 tahun berisiko lebih tinggi
2) Wanita pra-menopause berisiko lebih rendah daripada pria tetapi wanita pascamenopause berisiko lebih tinggi daripada pria
3) Umum di Asia Selatan
4) Riwayat keluarga
*berlaku untuk HDL Rendah

Faktor gaya hidup
1) Merokok
2) Kurang olahraga
3) Diet kaya lemak jenuh dan lemak trans
*berlaku untuk Kolesterol HDL Rendah.

Kondisi medis terkait
1) Obesitas
2) Diabetes Tipe 2
3) Obstruksi Bilier
4) Hipotiroidisme
5) Hipertensi
6) Hipopituitarisme
7) Sindrom nefrotik
*berlaku untuk HDL Rendah
Kolesterol.


"	Kolesterol HDL rendah tidak memiliki gejala 	"Uji Profil Lipid yang mengukur:
1) Kolesterol total
2) kolesterol LDL
3) kolesterol HDL
4) Trigliserida"	TBA	TBA	TBA
High LDL (Bad) Cholesterol Levels	LDL adalah jenis kolesterol jahat yang bisa menjadi berbahaya jika terlalu banyak. Kolesterol LDL dapat membentuk plak dan menumpuk di dinding arteri. Hal ini dapat membuat arteri lebih sempit dan kurang fleksibel, menempatkan Anda pada risiko kondisi seperti serangan jantung atau stroke.	Typical		"APOC1; HMGCR; LDLR; CELSR2; PCSK9; APOB; APOE; PSRC1"	8	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Pria >45 tahun dan wanita >55 tahun berisiko lebih tinggi
2) Pra-menopause
wanita berisiko lebih rendah daripada pria tetapi pascamenopause
wanita berisiko lebih tinggi daripada pria
3) Umum di Selatan
orang asia
4) Riwayat keluarga

Faktor gaya hidup
1) Merokok
2) Kurang olahraga
3) Diet kaya lemak jenuh dan lemak trans

Kondisi medis terkait
1) Obesitas
2) Diabetes Tipe 2
3) Obstruksi Bilier
4) Hipotiroidisme
5) Hipertensi
6) Hipopituitarisme
7) Sindrom nefrotik

"	"Kadar Kolesterol LDL (Buruk) yang tinggi tidak memiliki gejala tetapi dapat meningkatkan risiko Anda untuk kondisi yang memang memiliki gejala. Tanda-tanda:
1) Pertumbuhan atau lesi yang lembut dan kekuningan pada kulit yang disebut xantoma. Mereka dapat berkembang di atas tendon terutama pada Tendon Achilles.
2) Xanthelasma."	"Uji Profil Lipid yang mengukur:
1) Kolesterol total
2) kolesterol LDL
3) kolesterol HDL
4) Trigliserida"	Secara genetik, kamu mempunyai risiko umum untuk memilki Kadar Kolesterol LDL (Buruk) yang tinggi. 	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Waspadai tanda dan gejala Kadar Kolesterol LDL (Buruk) yang tinggi dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut.
"	NA
High LDL (Bad) Cholesterol Levels	LDL adalah jenis kolesterol jahat yang bisa menjadi berbahaya jika terlalu banyak. Kolesterol LDL dapat membentuk plak dan menumpuk di dinding arteri. Hal ini dapat membuat arteri lebih sempit dan kurang fleksibel, menempatkan Anda pada risiko kondisi seperti serangan jantung atau stroke.	Low		"APOC1; HMGCR; LDLR; CELSR2; PCSK9; APOB; APOE; PSRC1"	8	Health	Cardiovascular and Cerebral Diseases		"Faktor intrinsik
1) Pria >45 tahun dan wanita >55 tahun berisiko lebih tinggi
2) Pra-menopause
wanita berisiko lebih rendah daripada pria tetapi pascamenopause
wanita berisiko lebih tinggi daripada pria
3) Umum di Selatan
orang asia
4) Riwayat keluarga

Faktor gaya hidup
1) Merokok
2) Kurang olahraga
3) Diet kaya lemak jenuh dan lemak trans

Kondisi medis terkait
1) Obesitas
2) Diabetes Tipe 2
3) Obstruksi Bilier
4) Hipotiroidisme
5) Hipertensi
6) Hipopituitarisme
7) Sindrom nefrotik

"	"Kadar Kolesterol LDL (Buruk) yang tinggi tidak memiliki gejala tetapi dapat meningkatkan risiko Anda untuk kondisi yang memang memiliki gejala. Tanda-tanda:
1) Pertumbuhan atau lesi yang lembut dan kekuningan pada kulit yang disebut xantoma. Mereka dapat berkembang di atas tendon terutama pada Tendon Achilles.
2) Xanthelasma."	"Uji Profil Lipid yang mengukur:
1) Kolesterol total
2) kolesterol LDL
3) kolesterol HDL
4) Trigliserida"	Secara genetik, kamu mempunyai risiko tinggi untuk memilki Kadar Kolesterol LDL (Buruk) yang rendah. 	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Waspadai tanda dan gejala Kadar Kolesterol LDL (Buruk) yang tinggi dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut.
"	NA
